title,description,content_text,content_rich,dimension,indicators_code_names,indicators_names,further_references,contact_info,country,lang,show_author,version,created_at,created_by,updated_at,updated_by,survey_stoplight_dimension_id,application_id,organization_id,type,stoplight_type,dimensions_names,stoplight_types,original_lang
VSP Global - Zachry,Cobertura de visión,"El cuidado de la vista es de vital importancia porque afecta significativamente la salud, el rendimiento educativo y la estabilidad económica. La mala visión no sólo limita las oportunidades laborales y afecta el desempeño de los niños en la escuela, sino que también genera mayores costos de atención médica debido al descuido de la salud ocular. 
Dado el papel fundamental de la vista en el bienestar general, VSP Global brinda cobertura de la vista y se enfoca en mejorar el acceso al cuidado de la vista y a los anteojos.
El cuidado de la vista es de vital importancia porque tiene un impacto significativo en la salud, el rendimiento educativo y la estabilidad económica. La mala visión no solo limita las oportunidades laborales y afecta el rendimiento escolar de los niños, sino que también conduce a mayores costos de atención médica debido a la salud ocular descuidada.  
Dado el papel fundamental de la vista en el bienestar general, la cobertura de la visión es proporcionada por VSP Global, se centra en mejorar el acceso al cuidado de los ojos y las gafas.","El cuidado de la vista es de vital importancia porque afecta significativamente la salud, el rendimiento educativo y la estabilidad económica. La mala visión no sólo limita las oportunidades laborales y afecta el desempeño de los niños en la escuela, sino que también genera mayores costos de atención médica debido al descuido de la salud ocular. Dado el papel fundamental de la vista en el bienestar general, VSP Global proporciona cobertura de la vista y se centra en mejorar el acceso al cuidado de la vista y a los anteojos. El cuidado de la vista es de vital importancia porque tiene un impacto significativo en la salud, el rendimiento educativo y la estabilidad económica. La mala visión no solo limita las oportunidades laborales y afecta el rendimiento escolar de los niños, sino que también conduce a mayores costos de atención médica debido a la salud ocular descuidada. Dado el papel fundamental de la vista en el bienestar general, la cobertura de la visión es proporcionada por VSP Global, se centra en mejorar el acceso al cuidado de los ojos y las gafas.",,{eyesight},"{""Good Vision""}",,800-877-7195 vsp.com/choice,US,es_PY,True,2,2024-07-23 13:22:40,zachrycorporation_hub,2024-12-06 18:52:01,zachrycorporation_hub,,112,,INDIVIDUAL,,"{""Health and Environment""}",{POVERTY},en_US
Cómo aumentar la autoconciencia: 16 actividades y herramientas,"Ayuda con la autoestima y la autonomía, Canadá.","Este artículo contiene muchos recursos para desarrollar la autoconciencia, incluidos consejos como usar un diario de pensamientos, practicar la atención plena o pedirle a un amigo que aclare sus fortalezas y debilidades. También tiene recomendaciones de cursos y libros para un aprendizaje más profundo. 
 
Sitio web: https://positivepsychology.com/building-self-awareness-activities/","Este artículo contiene muchos recursos para desarrollar la autoconciencia, incluidos consejos como usar un diario de pensamientos, practicar la atención plena o pedirle a un amigo que aclare sus fortalezas y debilidades. También tiene recomendaciones de cursos y libros para un aprendizaje más profundo. Sitio web: https://positivepsychology.com/building-self-awareness-activities/",Interiority and Motivation,"{selfEsteem,autonomyDecisions}","{Self-esteem,Autonomy}",,,CA,es_PY,True,1,2022-12-29 20:02:35,shahini_orgadmin,,,6.0,82,887.0,INDIVIDUAL,EDUCATIONAL,"{""Interiority and Motivation""}",{EDUCATIONAL},en_US
Vacúnate y Protégete,Jornada de vacunación contra influenza con el MSP y BS,"Reconociendo la importancia de las vacunas para la salud general, la Fundación Paraguaya aplica esta solución para facilitar dicho proceso y proteger a sus colaboradores. 
Todos los años, alrededor de marzo y abril, se realiza una campaña de vacunación en conjunto con el Ministerio de Salud Pública. 
Para ello, se envía una nota modelo a los gerentes de oficinas para que puedan gestionar la vacunación con el centro médico de su jurisdicción.
Cada gerente de oficina, investiga el nombre del director del centro de salud más cercano y la nota va dirigida al director del hospital, público.Al ser hospitales, o centros medico públicos no tiene costoCada gerente se encarga de informar a su equipo el día y la hora que se realizará la vacunación de modo a que también la familia se organice y pueda ir a vacunarse. 
","Reconociendo la importancia de las vacunas para la salud general , la Fundación Paraguaya aplica esta solución para facilitar dicho proceso y proteger a sus colaboradores . Todos los años, alrededor de marzo y abril, se realiza una campaña de vacunación en conjunto con el Ministerio de Salud Pública . Para ello, se envía una nota modelo a los gerentes de oficinas para que puedan gestionar la vacunación con el centro médico de su jurisdicción. Cada gerente de oficina, investiga el nombre del director del centro de salud más cercano y la nota va dirigida al director del hospital, público. Al ser hospitales, o centros medico públicos no tiene costo Cada gerente se encarga de informar a su equipo el día y la hora que se realizará la vacunación de modo a que también la familia se organice y pueda ir a vacunarse.",Salud y Medio Ambiente,{vaccinations},{Vacunas},,heroes@fundacionparaguaya.org.py,PY,es_PY,True,2,2020-10-01 14:24:15,vickyperoni,2021-02-16 12:28:25,vickyperoni,2.0,15,,MANAGEMENT,,"{""Salud y Medio Ambiente""}",,es_PY
Cursos Acelerados para Colaboradores Buscando Recibir su Título,"Desarrollo de programas de alfabetización para adultos, tanto colaboradores como familiares de estos, que aun no hayan culminado sus estudios primarios y secundarios.","El Mejor es una empresa de limpieza de Paraguay, que eligió desarrollar programas de alfabetización para adultos, tanto para colaboradores como familiares de estos, que aun no hayan culminado sus estudios primarios y secundarios. 
Pasos de implementación
Lograr una alianza con el Ministerio de Educación, a fin de que habiliten un colegio público donde se impartan las clases y obtengan el título que valide la culminación de sus estudios. Se habilitan cursos acelerados, con horarios flexibles, sin costo de matriculación e inscripción para el estudiante.Luego, es importante realizar una buena campaña de difusión para que todos estén al tanto de la oportunidad. Como beneficio, esta solución contribuye a dar más posibilidades a los participantes de continuar con sus estudios y mejorar su curriculum con el titulo de bachiller.
","El Mejor es una empresa de limpieza de Paraguay, que eligió desarrollar programas de alfabetización para adultos , tanto para colaboradores como familiares de estos, que aun no hayan culminado sus estudios primarios y secundarios. Pasos de implementación Lograr una alianza con el Ministerio de Educación, a fin de que habiliten un colegio público donde se impartan las clases y obtengan el título que valide la culminación de sus estudios. Se habilitan cursos acelerados, con horarios flexibles, sin costo de matriculación e inscripción para el estudiante. Luego, es importante realizar una buena campaña de difusión para que todos estén al tanto de la oportunidad. Como beneficio , esta solución contribuye a dar más posibilidades a los participantes de continuar con sus estudios y mejorar su curriculum con el titulo de bachiller.",Educación y Cultura,{middleEducation},{Escolaridad},,,PY,es_PY,True,1,2020-10-06 0:57:02,admin,2020-11-28 0:56:15,vickyperoni,4.0,15,278.0,MANAGEMENT,,"{""Educación y Cultura""}",,es_PY
Mejorar las habilidades de resolución de conflictos domésticos,Pasos prácticos para que los hogares resuelvan conflictos de manera constructiva,"El conflicto es una parte natural de la interacción humana y ocurre tanto en las relaciones personales como profesionales. La resolución eficaz de conflictos es crucial para mantener relaciones y entornos saludables. Esta guía describe los pasos prácticos que los hogares pueden tomar para resolver conflictos de manera efectiva y garantizar la satisfacción de todas las partes involucradas.
1. Reconocer y analizar el conflicto: comience identificando la causa raíz del conflicto. Haga preguntas para aclarar los detalles: 
¿Qué desencadenó el conflicto? ¿Quiénes están involucrados y cómo se sienten? ¿Cuál es el resultado deseado para cada parte? Este análisis ayuda a comprender la dinámica en juego y facilita un enfoque de resolución más específico. 
2. Comuníquese abiertamente y respetuosamente: la comunicación abierta es clave para resolver conflictos. Cada parte debe expresar sus sentimientos y preocupaciones sin recurrir a culpabilizaciones. Concéntrese en el problema más que en la persona y aténgase a los hechos para evitar una escalada. 
3. Escucha activa y empatía: escucharse activamente unos a otros sin interrumpir. Esto implica intentar ver la situación desde la perspectiva de la otra persona, lo que puede fomentar la comprensión y la empatía. Utilice preguntas abiertas para garantizar la claridad y demostrar su compromiso y voluntad de comprender. 
4. Revisar las opciones juntos: discutir posibles soluciones, buscando una situación en la que todos ganen cuando sea posible. Es beneficioso involucrar a un tercero imparcial si las partes tienen dificultades para llegar a un acuerdo sobre una resolución.
Esté abierto a diversas soluciones y tómese el tiempo para evaluar cada opción a fondo. 
5. Implementar una solución beneficiosa para todos: acordar una resolución que satisfaga las necesidades de todas las partes hasta cierto punto. Este acuerdo debe ser respetado y sostenido por todos los involucrados. 
6. Reflexión posterior a la resolución: Después de resolver el conflicto, reflexione sobre el proceso y el resultado. Considere lo que se aprendió y cómo se pueden mejorar las habilidades de resolución de conflictos para situaciones futuras. 
Consejos adicionales: 
Reconoce lo que puedes controlar, como tus respuestas y acciones, y deja de intentar controlar a los demás. Permita que las emociones disminuyan antes de participar en la resolución de conflictos para garantizar un diálogo racional y constructivo. Comprender el impacto del conflicto en toda la familia, especialmente en los niños, y utilizar este conocimiento para motivar una resolución rápida y efectiva. Utilice declaraciones en ""yo"" para expresar sus sentimientos, que es menos probable que provoquen reacciones defensivas que las declaraciones en ""tú"". Recuerde que no todos los temas ameritan una confrontación. Elija sabiamente sus batallas y manténgase enfocado en mantener una dinámica de relación saludable. Al implementar estos pasos, los hogares pueden mejorar su capacidad para resolver conflictos sin recurrir a comportamientos destructivos como gritos, insultos o amenazas. Este enfoque proactivo no sólo resuelve los conflictos individuales sino que también fortalece la comunicación general y los vínculos dentro de la familia, contribuyendo a un ambiente hogareño más saludable y armonioso.
Fuente: Tranquilo","El conflicto es una parte natural de la interacción humana y ocurre tanto en las relaciones personales como profesionales. La resolución eficaz de conflictos es crucial para mantener relaciones y entornos saludables. Esta guía describe los pasos prácticos que los hogares pueden tomar para resolver conflictos de manera efectiva y garantizar la satisfacción de todas las partes involucradas. 1. Reconocer y analizar el conflicto: comience identificando la causa raíz del conflicto. Haga preguntas para aclarar los detalles: ¿Qué desencadenó el conflicto? ¿Quiénes están involucrados y cómo se sienten? ¿Cuál es el resultado deseado para cada parte? Este análisis ayuda a comprender la dinámica en juego y facilita un enfoque de resolución más específico. 2. Comunicarse abiertamente y respetuosamente: la comunicación abierta es clave para resolver conflictos. Cada parte debe expresar sus sentimientos y preocupaciones sin recurrir a culpabilizaciones. Concéntrese en el problema más que en la persona y aténgase a los hechos para evitar una escalada. 3. Escucha activa y empatía: escucharse activamente unos a otros sin interrumpir. Esto implica intentar ver la situación desde la perspectiva de la otra persona, lo que puede fomentar la comprensión y la empatía. Utilice preguntas abiertas para garantizar la claridad y demostrar su compromiso y voluntad de comprender. 4. Revisar las opciones juntos: discutir posibles soluciones, buscando una situación en la que todos ganen cuando sea posible. Es beneficioso involucrar a un tercero imparcial si las partes tienen dificultades para llegar a un acuerdo sobre una resolución. Esté abierto a diversas soluciones y tómese el tiempo para evaluar cada opción a fondo. 5. Implementar una solución beneficiosa para todos: acordar una resolución que satisfaga las necesidades de todas las partes hasta cierto punto. Este acuerdo debe ser respetado y sostenido por todos los involucrados. 6. Reflexión posterior a la resolución: Luego de resolver el conflicto, reflexione sobre el proceso y el resultado. Considere lo que se aprendió y cómo se pueden mejorar las habilidades de resolución de conflictos para situaciones futuras. Consejos adicionales: Reconozca lo que puede controlar, como sus respuestas y acciones, y deje de intentar controlar a los demás. Permita que las emociones disminuyan antes de participar en la resolución de conflictos para garantizar un diálogo racional y constructivo. Comprender el impacto del conflicto en toda la familia, especialmente en los niños, y utilizar este conocimiento para motivar una resolución rápida y efectiva. Utilice declaraciones en ""yo"" para expresar sus sentimientos, que es menos probable que provoquen reacciones defensivas que las declaraciones en ""tú"". Recuerde que no todos los temas ameritan una confrontación. Elija sabiamente sus batallas y concéntrese en mantener una dinámica de relación saludable. Al implementar estas medidas, los hogares pueden mejorar su capacidad para resolver conflictos sin recurrir a comportamientos destructivos como gritos, insultos o amenazas. Este enfoque proactivo no sólo resuelve los conflictos individuales sino que también fortalece la comunicación general y los vínculos dentro de la familia, contribuyendo a un ambiente hogareño más saludable y armonioso. Fuente: Tranquilo",,{covid_homeSupport},"{""Conflict resolution""}",,,US,es_PY,True,1,2024-04-24 13:35:44,ceciliasosav,,,,15,,FACILITATION,,"{""Interiority and Motivation""}",{POVERTY},en_US
Acceso rápido a especialistas médicos,"Clínica médica sin cita previa (Mississauga, Ontario, Canadá)","Clínica médica sin cita previa 
HORARIO 8am – 11pm los 365 días del año 
- Opción de traducción de Google en la parte superior de la página web 
- Clínica y Los servicios están abiertos a todos, incluidos viajeros, visitantes, nuevos inmigrantes, refugiados, ciudadanos canadienses, etc. 
- Le recomendamos que traiga una identificación con fotografía emitida por el gobierno para fines de identificación o alguien puede tomar una fotografía de su tarjeta de salud y enviársela por mensaje de texto o correo electrónico junto con la identificación con fotografía. 
- Farmacia en el mismo edificio con el mismo horario de atención.
 - Ofreciendo servicios telemédicos - La clínica para mujeres ofrece píldoras anticonceptivas de $5.00, píldoras del día después de $10, pruebas de Papanicolaou, atención prenatal, clínica de colposcopia, problemas ginecológicos agudos, etc. 
- Incluye clínica infantil, clínica de medicina para adultos y médicos de familia.
 
Sitio web: https://www.rapidaccesstomedicalspecialists.ca/index 
Dirección: 21 Queensway West, Mississauga, ON, L5B 1B6","Clínica médica sin cita previa HORARIO de 8 a. m. a 11 p. m., los 365 días del año - Opción de traducción de Google en la parte superior de la página web - La clínica y los servicios están abiertos a todos, incluidos viajeros, visitantes, nuevos inmigrantes, refugiados, ciudadanos canadienses, etc. - Le recomendamos que traiga una identificación con fotografía emitida por el gobierno para fines de identificación o alguien puede tomar una fotografía de su tarjeta de salud y enviársela por mensaje de texto o correo electrónico junto con la identificación con fotografía. - Farmacia en el mismo edificio con mismo horario de atención - Ofreciendo servicios telemédicos - La clínica para mujeres ofrece píldoras anticonceptivas de $5.00, píldoras del día después de $10, pruebas de Papanicolaou, atención prenatal, clínica de colposcopia, problemas ginecológicos agudos, etc. - Incluye clínica para niños, clínica de medicina para adultos y médicos de familia. Sitio web: https://www.rapidaccesstomedicalspecialists.ca/index Dirección: 21 Queensway West, Mississauga, ON, L5B 1B6",Health and Environment,"{accessToHealthServices,sexualHealth,personalHygiene,accessToMedication}","{""Health services"",""Sexual health"",Hygiene,Medication}",,(647) 372-0365 or toll free 1 (855) 629-0365,CA,es_PY,True,2,2022-11-28 20:14:37,karina_orgadmin,2023-01-03 20:28:30,shahini_orgadmin,2.0,82,887.0,INDIVIDUAL,POVERTY,"{""Health and Environment""}",{POVERTY},en_US
Seguro Médico,Dos opciones de cobertura médica a través de BlueCross BlueShield of Texas (BCBSTX),"Dos opciones de cobertura médica a través de BlueCross BlueShield of Texas (BCBSTX), una cobertura de Organización de Proveedores Preferidos (PPO) y una cobertura de salud con deducible alto (HDHP) acompañada de una cuenta de ahorros para la salud (HSA). Ambos incluyen cobertura de farmacia a través de Prime Therapeutics.
También puede utilizar la plataforma para encontrar médicos en línea.
Para obtener más información, puede comunicarse con BCBSTX: 800-521-2227  - (bcbstx.com)
 
Two medical plan options through BlueCross BlueShield of Texas (BCBSTX), a Preferred Provider Organization (PPO) Plan and a High Deductible Health Plan (HDHP) accompanied by a Health Savings Account (HSA). Both include pharmacy coverage through Prime Therapeutics.
You can also use the platform to find doctors online.
For more information, you can contact BCBSTX:
800-521-2227- bcbstx.com
","Dos opciones de cobertura médica a través de BlueCross BlueShield of Texas (BCBSTX), una cobertura de Organización de Proveedores Preferidos (PPO) y una cobertura de salud con deducible alto (HDHP) acompañada de una cuenta de ahorros para la salud (HSA). Ambos incluyen cobertura de farmacia a través de Prime Therapeutics. También puede utilizar la plataforma para encontrar médicos en línea. Para obtener más información, puede comunicarse con BCBSTX: 800-521-2227 - ( bcbstx.com ) Two medical plan options through BlueCross BlueShield of Texas (BCBSTX), a Preferred Provider Organization (PPO) Plan and a High Deductible Health Plan (HDHP) accompanied by a Health Savings Account (HSA). Both include pharmacy coverage through Prime Therapeutics. You can also use the platform to find doctors online. For more information, you can contact BCBSTX: 800-521-2227- bcbstx.com",,{accessToHealthServices},"{""Acceso a Servicios de Salud""}",,,US,es_PY,True,1,2024-10-20 18:52:05,zachrycorporation_hub,2024-12-11 14:54:58,zachrycorporation_hub,,112,,MANAGEMENT,,"{""Salud y Medio Ambiente""}",{POVERTY},es_PY
Asistencia financiera: VIA Assist,Asistencia financiera durante emergencias o situaciones de crisis.,"El Fondo de Asistencia de Emergencia para Empleados de VIA Assist (Fondo VIA) brinda a los miembros del equipo asistencia financiera durante emergencias o situaciones de crisis que están fuera del control de un miembro del equipo.
Los miembros del equipo elegibles pueden solicitar subvenciones, que son administradas por la Emergency Assistance Foundation para garantizar la confidencialidad, a menos que el destinatario opte por compartir su historia.
Para más información: 
Llame al (855) 515-0590 Vaya a viaassistfund.org Envíe un correo electrónico a VIAAssist@emergencyassistancefdn.org","El Fondo de Asistencia de Emergencia para Empleados de VIA Assist (Fondo VIA) brinda a los miembros del equipo asistencia financiera durante emergencias o situaciones de crisis que están fuera del control de un miembro del equipo. Los miembros del equipo elegibles pueden solicitar subvenciones, que son administradas por la Emergency Assistance Foundation para garantizar la confidencialidad, a menos que el destinatario opte por compartir su historia. Para obtener más información: Llame al (855) 515-0590 Vaya a viaassistfund.org Envíe un correo electrónico a VIAAssist@emergencyassistancefdn.org",,"{debts,loanInformation}","{Debt,""Applying for Loans""}",,"(855) 515-0590/ 
viaassistfund.org/ 
VIAAssist@emergencyassistancefdn.org ",US,es_PY,True,1,2024-07-23 13:20:58,zachrycorporation_hub,2024-07-30 14:41:38,zachrycorporation_hub,,112,,INDIVIDUAL,,"{""Income and Employment""}","{POVERTY,EDUCATIONAL}",en_US
Autoestima Personal - Un impulso para avanzar,Desarrollo de la motivación personal.,"Objetivo General: 
Fomentar el desarrollo de la interioridad y la motivación personal mediante el fortalecimiento de la autoestima, promoviendo un bienestar emocional que permita a las personas alcanzar sus metas y mejorar su calidad de vida. 
Objetivos Específicos:
Promover el autoconocimiento: Acompañar a través de un extensionista capacitado para que las personas identifiquen sus pensamientos, emociones, fortalezas y áreas de mejora.Fortalecer la autovaloración: Siempre con apoyo del extensionista impulsar prácticas que refuercen la autoestima, como el reconocimiento de logros y el uso de un diálogo interno positivo.Estimular la motivación consciente: con acompañamiento del extensionista diseñar estrategias que permitan establecer metas claras y mantener un enfoque en el progreso personal.Beneficios
Bienestar emocional: Mayor estabilidad y resiliencia frente a los desafíos diarios.Incremento de la confianza: Capacidad de reconocer y valorar las propias habilidades.Reducción del estrés y la ansiedad: Al aceptar debilidades y celebrar logros, se disminuyen pensamientos negativos.Mejora en la toma de decisiones: Con una mayor claridad sobre metas y valores, se facilita elegir acciones alineadas con el propósito establecido en su Semáforo. Relaciones más cercanas con la familiaMayor motivación para el crecimiento personal: Las personas se sienten impulsadas a alcanzar sus objetivos de manera consciente y constante.estructurarse en tres pasos: autoconocimiento, autovaloración y acción consciente. Aquí se detalla cada uno:
Pasos a seguir:
Primer paso
Autoconocimiento: Explorar la interioridad
Segundo paso
 Reflexión diaria, Dedicar tiempo para conectar con uno mismo, a través de la escritura de un diario o la meditación. Esto permite identificar pensamientos y emociones recurrentes, así como valores personales.
Tercer paso
Identificación de fortalezas y áreas de mejora: Reconocer habilidades y talentos propios, así como aspectos que se desean desarrollar, para construir una imagen clara de uno mismo.
Cuarto paso
Conexión con el propósito: Reflexionar sobre metas y aspiraciones personales que den sentido a las acciones diarias.
Quinto paso 
Autovaloración: Construir autoestima
Aceptación de imperfecciones: Aprender a aceptar errores como parte del crecimiento, evitando la autocrítica destructiva.
Sexto paso
Reconocimiento de logros: Celebrar los avances, por pequeños que sean, para reforzar la confianza en las propias capacidades.
Séptimo paso
Diálogo interno positivo: Sustituir pensamientos negativos por afirmaciones que refuercen la auto valía. Por ejemplo: “Soy capaz de superar desafíos” o “Merezco lo bueno que me ocurre”.
Ejercicios prácticos/pasos a seguir
1- Escribe cada día lo que más te impacta y te llamó la atención en cada cosa que hacías
2- Reflexiona sobre cómo cada elemento contribuye a tu autoestima y qué puedes cambiar para alinearlo con tus metas personales.
3 Recomendar asistir a un profesional psicólogo para una mejor evaluación y motivación 
4 Seguir al pie de la letra las recomendaciones del psicólogo
5 Estas acciones deben tener el seguimiento constante del extensionista familiar
Estas actividades deben ser ejecutadas con el acompañamiento de un profesional. 
Recordar que el extensionista acompaña, y genera espacios donde la persona voluntariamente siga su proceso de mejora. 
","Objetivo General: Fomentar el desarrollo de la interioridad y la motivación personal mediante el fortalecimiento de la autoestima, promoviendo un bienestar emocional que permita a las personas alcanzar sus metas y mejorar su calidad de vida. Objetivos Específicos: Promover el autoconocimiento: Acompañar a través de un extensionista capacitado para que las personas identifiquen sus pensamientos, emociones, fortalezas y áreas de mejora. Fortalecer la autovaloración: Siempre con apoyo del extensionista impulsar prácticas que refuercen la autoestima, como el reconocimiento de logros y el uso de un diálogo interno positivo. Estimular la motivación consciente: con acompañamiento del extensionista diseñar estrategias que permitan establecer metas claras y mantener un enfoque en el progreso personal. Beneficios Bienestar emocional: Mayor estabilidad y resiliencia frente a los desafíos diarios. Incremento de la confianza: Capacidad de reconocer y valorar las propias habilidades. Reducción del estrés y la ansiedad: Al aceptar debilidades y celebrar logros, se disminuyen pensamientos negativos. Mejora en la toma de decisiones: Con una mayor claridad sobre metas y valores, se facilita elegir acciones alineadas con el propósito establecido en su Semáforo. Relaciones más cercanas con la familia Mayor motivación para el crecimiento personal: Las personas se sienten impulsadas a alcanzar sus objetivos de manera consciente y constante. estructurarse en tres pasos: autoconocimiento, autovaloración y acción consciente. Aquí se detalla cada uno: Pasos a seguir: Primer paso Autoconocimiento: Explorar la interioridad Segundo paso Reflexión diaria, Dedicar tiempo para conectar con uno mismo, a través de la escritura de un diario o la meditación. Esto permite identificar pensamientos y emociones recurrentes, así como valores personales. Tercer paso Identificación de fortalezas y áreas de mejora: Reconocer habilidades y talentos propios, así como aspectos que se desean desarrollar, para construir una imagen clara de uno mismo. Cuarto paso Conexión con el propósito: Reflexionar sobre metas y aspiraciones personales que den sentido a las acciones diarias. Quinto paso Autovaloración: Construir autoestima Aceptación de imperfecciones: Aprender a aceptar errores como parte del crecimiento, evitando la autocrítica destructiva. Sexto paso Reconocimiento de logros: Celebrar los avances, por pequeños que sean, para reforzar la confianza en las propias capacidades. Séptimo paso Diálogo interno positivo: Sustituir pensamientos negativos por afirmaciones que refuercen la auto valía. Por ejemplo: “Soy capaz de superar desafíos” o “Merezco lo bueno que me ocurre”. Ejercicios prácticos/pasos a seguir 1- Escribe cada día lo que más te impacta y te llamó la atención en cada cosa que hacías 2- Reflexiona sobre cómo cada elemento contribuye a tu autoestima y qué puedes cambiar para alinearlo con tus metas personales. 3 Recomendar asistir a un profesional psicólogo para una mejor evaluación y motivación 4 Seguir al pie de la letra las recomendaciones del psicólogo 5 Estas acciones deben tener el seguimiento constante del extensionista familiar Estas actividades deben ser ejecutadas con el acompañamiento de un profesional. Recordar que el extensionista acompaña, y genera espacios donde la persona voluntariamente siga su proceso de mejora.",,"{selfEsteem,autonomyDecisions,emotionalIntelligence,emotionalIntelligence,selfEsteem,covid_homeSupport,emotionalIntelligence}","{Autoestima,Autonomía,""Bienestar emocional"",""Capacidad emocional"",Confianza,Contención,""Control emocional""}",,comunidad@fundaciónparaguaya.org.py / Empresas en Comunidades.,PY,es_PY,True,1,2024-12-31 16:40:39,comunidades_hub,,,,15,,INDIVIDUAL,,"{""Interioridad y Motivación"",""Interioridad y Motivación"",""Interioridad y Motivación"",""Interioridad y Motivación"",""Interioridad y Motivación""}",{POVERTY},es_PY
📱 Plan de ahorro para la compra de celular (H2025N),"Contar con un buen celular facilita la comunicación, el acceso a información y oportunidades laborales.","Con un plan de ahorro podés organizarte y comprar el teléfono que necesitás sin endeudarte, eligiendo el modelo que se ajuste a tus necesidades y presupuesto.","Con un plan de ahorro podés organizarte y comprar el teléfono que necesitás sin endeudarte, eligiendo el modelo que se ajuste a tus necesidades y presupuesto.",,{phone},{Teléfono},,heroes@fundacionparaguaya.org.py,PY,es_PY,True,2,2025-11-12 16:32:51,heroesorg,2025-12-02 11:15:37,heroeshub,,88,937.0,FACILITATION,,"{""Vivienda e Infraestructura""}",{POVERTY},es_PY
